"Register","Registreer"
"Ethically grown Single Origin Tea","Vers verpakte Single Origin thee"
"Description","Omschrijving"
"About the Product","Over het product"
"Tasting Note & Distinctive Features","Smaakomschrijving"
"Ingredients","Ingrediënten"
"Caffeine Level","Caffaine level"
"Brewing Information","Zetadvies"
"Serve with:","Serveer eventueel met:"
"Accompaniment","Past mooi bij:"
"Reviews","Beoordelingen"
"Be the first to review this product","Wees de eerste die dit product beoordeeld"
"Be the first to review this product.","Wees de eerste die dit product beoordeeld"
"Write a Review","Beoordeel"
"Nickname","Voornaam"
"Review title","Titel"
"Review","Beoordeling"
"Quality of the Product","Kwaliteit van de thee"
"Value for Money","Waar voor je geld"
"Ease of Use","Gebruiksgemak"
"Visual Appearance","Kleur van de thee"
"Overall Rating","Score"
"Submit your review","Sla mijn beoordeling op"
"You submitted your review for moderation.","Bedankt voor je beoordeling"
"This is a required field","Dit is een verplicht veld"
"Please select one of each of the ratings above.","Selecteer ajb een van de bovenstaande scores"
"Videos","Video's"
"bags per pack","zakjes per pakje"
"servings per pack","koppen thee per pakje"
"In stock","Op voorraad"
"Add to Wishlist","Toevoegen aan wenslijst"
"Tea Format","Type thee"
"Recommended Time of The Day","Aanbevolen Theemoment"
"Recommended for:","Aanbevolen voor:"
"ship within 2 working days","Verzending binnen 2 werkdagen"
"Free Shipping","Gratis verzending"
"Ethically grown Single Origin Tea","Vers verpakte Single Origin thee"
"Description","Omschrijving"
"About the Product","Over het product"
"Tasting Note & Distinctive Features","Smaakomschrijving"
"Ingredients","Ingrediënten"
"Caffeine Level","Caffaine level"
"Brewing Information","Zetadvies"
"Serve with:","Serveer eventueel met:"
"Accompaniment","Past mooi bij:"
"Reviews","Beoordelingen"
"Be the first to review this product","Wees de eerste die dit product beoordeeld"
"Be the first to review this product.","Wees de eerste die dit product beoordeeld"
"Write a Review","Beoordeel"
"Write a review", "Beoordeel"
"Nickname","Voornaam"
"Review title","Titel"
"Review","Beoordeling"
"Quality of the Product","Kwaliteit van de thee"
"Value for Money","Waar voor je geld"
"Ease of Use","Gebruiksgemak"
"Visual Appearance","Kleur van de thee"
"Overall Rating","Score"
"Submit your review","Sla mijn beoordeling op"
"You submitted your review for moderation.","Bedankt voor je beoordeling"
"This is a required field","Dit is een verplicht veld"
"Please select one of each of the ratings above.","Selecteer ajb een van de bovenstaande scores"
"Videos","Video's"
